Jeux,Primaire,Secondaire
Gretzky NHL 06,67.222.156.250,1.1.1.1
Medal of Honor Heroes,67.222.156.250,1.1.1.1
MLB,67.222.156.250,1.1.1.1
NBA,67.222.156.250,1.1.1.1
NBA 06,67.222.156.250,1.1.1.1
NBA 07,67.222.156.250,1.1.1.1
Ratchet & Clank: Size Matters,67.222.156.250,1.1.1.1
Sega Rally Revo,146.190.205.197,1.1.1.1
Socom: FireTeam Bravo,67.222.156.250,1.1.1.1
Socom: FireTeam Bravo 2,67.222.156.250,1.1.1.1
Socom: Tactical Strike,67.222.156.250,1.1.1.1
SW: Battlefront - Elite Squadron,67.222.156.250,1.1.1.1
SW: Battlefront - Renegade Squadron,67.222.156.250,1.1.1.1
Syphon Filter: Dark Mirror,67.222.156.250,1.1.1.1
Twisted Metal: Head-On,67.222.156.250,1.1.1.1
